Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
PAYMENT,3,4,110.5299988,235.1600037,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Mary,1715,Henson,XXXXXXXXX,Corporate,PR,4389 Thunder Byway,725.0,4,Apparel,18.20661545,-66.37055969,Pacific Asia,Pune,India,1715,12/29/2015 9:39,24827,365,4.800000191,0.02,62196,59.99000168,0.469999999,4,239.9600067,235.1600037,110.5299988,South Asia,Maharashtra,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/1/2016 9:39,Standard Class
PAYMENT,4,4,108.2699966,230.3600006,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Janice,11532,Nicholson,XXXXXXXXX,Corporate,PR,6574 Jagged Hickory Rise,725.0,4,Apparel,18.2469368,-66.37050629,Pacific Asia,Gold Coast,Australia,11532,4/1/2016 18:58,31293,365,9.600000381,0.039999999,78221,59.99000168,0.469999999,4,239.9600067,230.3600006,108.2699966,Oceania,Queensland,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,4/5/2016 18:58,Standard Class
PAYMENT,6,4,-84.54000092,230.3600006,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Harry,11923,Smith,XXXXXXXXX,Corporate,PR,3899 Blue Nook,725.0,4,Apparel,18.29704666,-66.37062836,Pacific Asia,Estambul,Turquía,11923,9/17/2016 11:54,42850,365,9.600000381,0.039999999,107001,59.99000168,-0.370000005,4,239.9600067,230.3600006,-84.54000092,West Asia,Estambul,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,9/23/2016 11:54,Standard Class
PAYMENT,6,4,104.8600006,227.9600067,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Nancy,10610,Bryant,XXXXXXXXX,Corporate,PR,1133 Cozy Embers Plaza,725.0,4,Apparel,18.21938515,-66.37051392,Pacific Asia,Binzhou,China,10610,1/2/2016 0:32,25075,365,12.0,0.050000001,62838,59.99000168,0.460000008,4,239.9600067,227.9600067,104.8600006,Eastern Asia,Shandong,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/8/2016 0:32,Standard Class
PAYMENT,3,4,79.79000092,227.9600067,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Theresa,10163,Smith,XXXXXXXXX,Corporate,PR,2125 Gentle Cove,725.0,4,Apparel,18.21525955,-66.37057495,Pacific Asia,Sabzevar,Irán,10163,9/28/2016 7:52,43592,365,12.0,0.050000001,108861,59.99000168,0.349999994,4,239.9600067,227.9600067,79.79000092,South Asia,Jorasán Razaví,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,10/1/2016 7:52,Standard Class
PAYMENT,6,4,72.52999878,223.1600037,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Mary,5759,Brown,XXXXXXXXX,Corporate,PR,8187 Sleepy Beacon Gardens,725.0,4,Apparel,18.24570465,-66.37058258,Pacific Asia,Ballarat,Australia,5759,2/19/2016 18:41,28415,365,16.79999924,0.07,71117,59.99000168,0.330000013,4,239.9600067,223.1600037,72.52999878,Oceania,Victoria,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,2/25/2016 18:41,Standard Class
PAYMENT,2,4,107.1200027,223.1600037,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Steven,11829,Smith,XXXXXXXXX,Corporate,PR,4010 Tawny Embers Rise,725.0,4,Apparel,18.29114914,-66.3706131,Pacific Asia,Puducherry,India,11829,2/5/2016 16:57,27451,365,16.79999924,0.07,68720,59.99000168,0.479999989,4,239.9600067,223.1600037,107.1200027,South Asia,Puducherry,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,2/7/2016 16:57,Standard Class
PAYMENT,4,4,100.4499969,218.3600006,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Eric,132,Smith,XXXXXXXXX,Corporate,PR,1131 Cotton Grounds,725.0,4,Apparel,18.24747658,-66.02528381,Pacific Asia,Perth,Australia,132,3/15/2016 8:19,30098,365,21.60000038,0.090000004,75237,59.99000168,0.460000008,4,239.9600067,218.3600006,100.4499969,Oceania,Australia Occidental,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,3/19/2016 8:19,Standard Class
PAYMENT,6,4,5.460000038,218.3600006,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Timothy,1163,Smith,XXXXXXXXX,Corporate,PR,3114 Grand Quail Pointe,725.0,4,Apparel,18.22088432,-66.37056732,Pacific Asia,Sangli,India,1163,2/16/2016 3:06,28165,365,21.60000038,0.090000004,70437,59.99000168,0.029999999,4,239.9600067,218.3600006,5.460000038,South Asia,Maharashtra,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,2/22/2016 3:06,Standard Class
PAYMENT,2,4,14.63000011,218.3600006,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Steven,11829,Smith,XXXXXXXXX,Corporate,PR,4010 Tawny Embers Rise,725.0,4,Apparel,18.29114914,-66.3706131,Pacific Asia,Puducherry,India,11829,2/5/2016 16:57,27451,365,21.60000038,0.090000004,68718,59.99000168,0.07,4,239.9600067,218.3600006,14.63000011,South Asia,Puducherry,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,2/7/2016 16:57,Standard Class
